"filename", "language", "JavaScript", "PHP", "PostCSS", "Markdown", "JSON", "Properties", "XML", "Docker", "YAML", "comment", "blank", "total"
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\database\migrations\2025_04_01_234109_create_pagos_table.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 0, 0, 10, 4, 39
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\database\migrations\2025_05_04_043642_add_fields_to_propiedades_table.php", "PHP", 0, 47, 0, 0, 0, 0, 0, 0, 0, 1, 5, 53
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\database\migrations\2025_05_22_191142_add_avatar_to_users_table.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 10, 4, 33
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\database\migrations\2025_05_22_191419_add_avatar_to_users_table.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 12, 4, 33
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\database\seeders\DatabaseSeeder.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 0, 11, 5, 25
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 8, 80
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\lang\en\auth.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 10, 5, 21
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\lang\en\pagination.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 0, 0, 10, 5, 20
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\lang\en\passwords.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 10, 5, 23
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\lang\en\validation.php", "PHP", 0, 146, 0, 0, 0, 0, 0, 0, 0, 30, 9, 185
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\nginx.conf", "Properties", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 8, 28
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\package.json", "JSON", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\phpunit.xml", "XML", 0, 0, 0, 0, 0, 0, 29, 0, 0, 2, 1, 32
